TypeID,EIN,TypeName,Status,LastUpdate,URL
71-209-0001-9-001-001,ES8020250299,R20_001.00.00,Valid (Spain),2025-11-05,https://eratv.era.europa.eu/Eratv/Home/View/71-209-0001-9-001-001
11-068-0013-7-001-001,PL8020250293,Ls800/GSM-R,Valid (Poland),2025-11-05,https://eratv.era.europa.eu/Eratv/Home/View/11-068-0013-7-001-001
51-009-0005-8-001-001,EU8020250289,Rens,Valid (European Union),2025-11-05,https://eratv.era.europa.eu/Eratv/Home/View/51-009-0005-8-001-001
53-003-0002-6-001-001,EU8020250291,Fix coupled 8-axle container wagon Sggmrrss-y,Valid (European Union),2025-11-05,https://eratv.era.europa.eu/Eratv/Home/View/53-003-0002-6-001-001
13-209-0001-0-004-001,CZ8020250283,845.2/945.2 AC,Valid (Czech Republic),2025-11-04,https://eratv.era.europa.eu/Eratv/Home/View/13-209-0001-0-004-001
36-007-0001-1-001-001,CZ8020250296,"8-311.1, 8-311.2 (ŠKODA 3Ev) ETCS",Valid (Czech Republic),2025-11-04,https://eratv.era.europa.eu/Eratv/Home/View/36-007-0001-1-001-001
13-398-0001-1-001-001,EE8020250002,Škoda electric train 21Ev,Valid (Estonia),2025-11-03,https://eratv.era.europa.eu/Eratv/Home/View/13-398-0001-1-001-001
11-096-0001-3-004-001,EU8020250297,742.71 8010-108 3d4d6d7d8d9d CZ SK,Valid (European Union),2025-11-03,https://eratv.era.europa.eu/Eratv/Home/View/11-096-0001-3-004-001
11-096-0001-3-003-001,EU8020250297,742.71 8010-108 3d4d6d7d8d CZ SK,Valid (European Union),2025-11-03,https://eratv.era.europa.eu/Eratv/Home/View/11-096-0001-3-003-001
13-294-0001-2-002-001,CZ8020240267,8-228.1,Valid (Czech Republic),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/13-294-0001-2-002-001
31-051-0026-1-001-001,DE8020230181,Do 2010 2. Kl. – Stw B28 (1),Valid (Germany),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/31-051-0026-1-001-001
31-051-0027-9-001-001,DE8020230197,TWINDEXX Vario Stw B34,Valid (Germany),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/31-051-0027-9-001-001
13-161-0003-9-001-001,DE8020250250,BR 633_031 OWDE Delta C,Valid (Germany),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/13-161-0003-9-001-001
77-002-0001-2-001-001,ES8020250294,Excavadora Liebherr A900 C ZW 1435/1668 EXCAVACIONES Y OBRAS,Valid (Spain),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/77-002-0001-2-001-001
13-161-0002-1-001-001,DE8020250247,BR 632_022 SLN Delta C,Valid (Germany),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/13-161-0002-1-001-001
13-053-0005-3-001-002,IT8020250213,ETR675.BL3 R2,Valid (Italy),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/13-053-0005-3-001-002
13-161-0005-4-001-001,DE8020250251,BR633_041 DNAG Delta C,Valid (Germany),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/13-161-0005-4-001-001
13-161-0001-3-001-001,DE8020250249,BR 633_021 SLN Delta C,Valid (Germany),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/13-161-0001-3-001-001
13-269-0001-4-001-001,FI5120190019,New version of Sm6,Valid (Finland),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/13-269-0001-4-001-001
13-161-0004-7-001-001,DE8020250248,BR 632_031 OWDE Delta C,Valid (Germany),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/13-161-0004-7-001-001
13-276-0001-9-001-002,PL8020220185,48WEc w wersji 48WEc-10,Valid (Poland),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/13-276-0001-9-001-002
13-169-0004-0-001-001,DE8020240154,LINT II LNVG GSM-R 171-179 + 194-199,Valid (Germany),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/13-169-0004-0-001-001
71-303-0001-0-001-001,DE8020240034,SSP 110 - 760/0,Valid (Germany),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/71-303-0001-0-001-001
11-057-0101-3-001-001,EU8020250229,X4-A_Corridor DE-AT-NL-PL-CZ-SK-HU-RO-BG_Rel. E2.05a_ADSG,Valid (European Union),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/11-057-0101-3-001-001
11-057-0102-1-001-001,EU8020250230,X4-A_Corridor DE-AT-NL-PL-CZ-SK-HU-RO-BG_Rel. E1.11_ADSG,Valid (European Union),2025-10-31,https://eratv.era.europa.eu/Eratv/Home/View/11-057-0102-1-001-001
51-051-0005-0-001-002,EU8020240223,Sgnss 60’,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/51-051-0005-0-001-002
31-151-0003-8-001-001,EU8020250244,T-230 SINGLE Coach S EC 2ND F081 Type C4702S,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-151-0003-8-001-001
31-151-0002-0-001-001,EU8020250244,T-230 SINGLE Coach P EC 2ND F081 Type C4702P,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-151-0002-0-001-001
31-151-0001-2-001-001,EU8020250244,T-230 ENDCAR EC F081 Type C4728,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-151-0001-2-001-001
31-151-0004-6-001-001,EU8020250244,T-230 PRM Coach EC F081 Type C4714,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-151-0004-6-001-001
31-150-0006-3-001-001,EU8020250210,T-230 Single Coach P ICE-L 2ND F073 Type C4302P,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-150-0006-3-001-001
31-150-0005-5-001-001,EU8020250210,T-230 Single Coach Bistro ICE-L F073 Type C4306,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-150-0005-5-001-001
31-150-0004-8-001-002,EU8020250210,T-230 Single Coach ICE-L Family F073 Ver C4322,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-150-0004-8-001-002
31-150-0004-8-001-001,EU8020250210,T-230 Single Coach C ICE-L F073 Type C4302C,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-150-0004-8-001-001
31-150-0003-0-001-001,EU8020250210,T-230 Endcar ICE-L F073 Type C4328,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-150-0003-0-001-001
31-150-0002-2-001-001,EU8020250210,T-230 Cabcar No CCS ICE-L F073 Type C4340A,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-150-0002-2-001-001
31-150-0001-4-001-001,EU8020250210,T-230 PRM Coach ICE-L F073 Type C4314,Valid (European Union),2025-10-29,https://eratv.era.europa.eu/Eratv/Home/View/31-150-0001-4-001-001
11-075-0001-7-009-003,EU8020250243,Eurodual E25/3/1.5 ES-FR-LU,Valid (European Union),2025-10-27,https://eratv.era.europa.eu/Eratv/Home/View/11-075-0001-7-009-003
